ID,Tittle,Category ID,Store Id,RedirectUrl,Description,,type of coupon,MetaTittle,MetaKeyword,MetaDescription,Code,Image,ExpiryDate,Position,Status,UserID,Date,UpdateDate,ShowOnHome,TittlePostFix,Prefix,Postfix,Tag,Details,Desp
,"19,45€",3,31,www.cbdsense.fr,CBD supplements from €19.45,,,,,,,,45882
,0.18,3,32,delicure.co,Up to 18% off gummies,,,,,,,,45860
,0.1,3,32,delicure.co,10% discount,Up to 10% off CBD oils,,,,,,,45854
,Free delivery,3,32,delicure.co,Free delivery from 30€ of purchases,,,,,,,,
,0.25,3,32,delicure.co,Save up to 25% on a CBD chocolate,,,,,,,,45825
,0.1,3,32,delicure.co,10% discount,10% off sale on selected CBD gummies,,,,,,,45861
,0.2,10,33,abbi.care,20% off,20% off selected beauty products,,,,,,,45659
,"49,90€",10,33,abbi.care,Cleansing Foam from €49.90,,,,,,,,
,0.1,10,33,abbi.care,15% off your first order,Subscribe to the newsletter and get 15% off your first order,,,,,,,
,Free delivery,10,33,abbi.care,Free delivery from 50€ of purchases,,,,,,,,
,"34,90€",10,33,abbi.care,Argan oil from €34.90,,,,,,,,45899
,0.79,10,34,www.beauteprivee.fr,79% off,79% off body perfume,,,,,,,
,0.9,10,34,www.beauteprivee.fr,Up to 90% off,Save up to 90% on hand cream,,,,,,," June 18, 2025"
,Free delivery,10,34,www.beauteprivee.fr,Free delivery from 39€ purchase,,,,,,,,45813
,0.75,10,34,www.beauteprivee.fr,Sale at 75% off,75% off the refined shorty,,,,,,,45723
,0.92,10,34,www.beauteprivee.fr,up to 92% off,Save up to 92% on Ultra Matte Lipstick,,,,,,,45954
,67,10,35,www.c-total.ch,Shampoo from 67€,,,,,,,,45883
,0.1,10,35,www.c-total.ch,10% off when you subscribe to the newsletter,,,,,,,,
,Free delivery,10,35,www.c-total.ch,Free delivery from 150€ of purchases,,,,,,,,
,"1,66€",10,35,www.c-total.ch,Brushes and combs from €1.66,,,,,,,,45883
,"19,02€",10,35,www.c-total.ch,Professional electrical devices from €19.02,,,,,,,,45973
,0.5,10,36,deciem.com,Up to 50% off selected items,,,,,,,,45660
,Free delivery,10,36,deciem.com,Free delivery from 25€ purchase,,,,,,,,45660
,0.5,10,36,deciem.com,Up to 50% off eye serums,,,,,,,,45659
,Free delivery,10,37,fr.eisenberg.com,Get free delivery on every order,,,,,,,,45763
,40,10,37,fr.eisenberg.com,Lipstick tube from €40,,,,,,,,45757
,39,10,37,fr.eisenberg.com,Black mascara from €39,,,,,,,,45765
,49,10,37,fr.eisenberg.com,Complexion erfector makeup base from €49,,,,,,,," April 17, 2025"
,37,10,37,fr.eisenberg.com,Precision corrector from €37,,,,,,,,45861
,0.25,10,38,fr.feelunique.com,25% discount,Up to 25% off skincare products for oily and combination skin,,,,,,,45944
,0.1,10,38,fr.feelunique.com,10% off when you subscribe to the newsletter,,,,,,,,
,Free delivery,10,38,fr.feelunique.com,Free delivery from 20€ of purchases,,,,,,,,
,"47,50€",10,38,fr.feelunique.com,Makeup products from €47.50,,,,,,,,
,14,10,38,fr.feelunique.com,Facial care products from 14€,,,,,,,,
,0.35,14,39,www.articlesdeparis.com,35% discount,Up to 35% off costume jewelry.,,,,,,,45764
,"24,95€",14,39,www.articlesdeparis.com,Women's Scarves from €24.95,,,,,,,,45811
,"56,90€",14,39,www.articlesdeparis.com,Shoulder bags from €56.90,,,,,,,,45882
,"44,95€",14,39,www.articlesdeparis.com,Handbags from €44.95,,,,,,,,46015
